LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000649093-0030-2,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 27113,1845 S LA CIENEGA BLVD,LOS ANGELES,90035-4603,1845 LA CIENEGA 90035-4603,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,10,11/20/2002,,"(34.0433, -118.3765)"
0000551373-0001-9,ONEMOR INC,MCDONALD'S,1625 WILSHIRE BLVD,LOS ANGELES,90017-1610,1625 WILSHIRE 90017-1610,2202 S FIGUEROA STREET SUITE #4003,LOS ANGELES,90007-2049,722110,Full-service restaurants,1,01/10/2002,,"(34.0557, -118.2709)"
0000576494-0001-8,HOMAK ENTERPRISES INC,MCDONALD'S #27077 | MCDONALDS # 27077,18909 VENTURA BLVD,TARZANA,91356-3211,18909 VENTURA 91356-3211,15700 VENTURA BLVD,ENCINO,91436-2904,722110,Full-service restaurants,3,10/03/2001,,"(34.1723, -118.5449)"
0002518494-0002-1,2MANGAS INCORPORATED,MCDONALD'S,2457 LINCOLN BLVD,VENICE,90291-5040,2457 Lincoln 90291-5040,723 S GLASGOW AVENUE UNIT #C,INGLEWOOD,90301-3019,722211,Limited-service eating places,11,07/01/2021,,"(33.9929, -118.4511)"
0002688579-0001-7,STANLEY MCDONALD,MCDONALD'S PLUMBING,1826 W 45TH STREET,LOS ANGELES,90062-1953,1826 45TH 90062-1953,9112 COTTON ROSE WAY,LAS VEGAS,89134-1842,233210,Single Family Housing Construction (1997 NAICS),8,06/24/2013,,"(34.0027, -118.3119)"
0003025565-0001-7,NICKER - ARLINGTON INC,MCDONALD'S,2215 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90008-2722,2215 MARTIN LUTHER KING JR 90008-2722,,,,,,8,02/15/2023,,
0003018153-0007-6,HAFA MANAGEMENT CORP,MCDONALD'S,9185   DE SOTO AVENUE,CHATSWORTH,91311-4906,9185 DE SOTO 91311-4906,42913   CAPITAL DRIVE   SUITE #106,LANCASTER,93535-4556,722110,Full-service restaurants,12,07/18/2018,,"(34.2379, -118.589)"
0000951177-0002-1,TAMBIEN INC,MCDONALD'S,850 W ROSECRANS AVENUE,GARDENA,90247-2757,850 Rosecrans 90247-2757,2202 S FIGUEROA STREET,LOS ANGELES,90007-2049,722110,Full-service restaurants,15,09/01/2023,,"(33.9015, -118.2911)"
0003018153-0005-0,HAFA MANAGEMENT CORP,MCDONALD'S # 23822,13700   SHERMAN WAY,VAN NUYS,91405-2626,13700 SHERMAN 91405-2626,42913   CAPITAL DRIVE   UNIT #106,LANCASTER,93535-4556,722110,Full-service restaurants,2,11/01/2017,,"(34.2008, -118.4316)"
0003341061-0001-8,RRH VICTORY INC,MCDONALD'S #741,12919 VICTORY BLVD,NORTH HOLLYWOOD,91606-2923,12919 VICTORY 91606-2923,6309 LANKERSHIM BLVD,NORTH HOLLYWOOD,91606-3511,722110,Full-service restaurants,2,12/19/2022,,
0003025561-0001-9,NICKER - 18TH INC,MCDONALD'S,1800 S WESTERN AVENUE,LOS ANGELES,90006-5806,1800 WESTERN 90006-5806,20790   LEAPWOOD AVENUE,CARSON,90746-3610,722110,Full-service restaurants,10,01/01/2018,,"(34.0416, -118.3085)"
0003025585-0001-4,NICKER WESTERN INC,MCDONALD'S,1900 W SLAUSON AVENUE,LOS ANGELES,90047-1129,1900 SLAUSON 90047-1129,20790   LEAPWOOD AVENUE,CARSON,90746-3610,722110,Full-service restaurants,8,01/01/2018,,"(33.9888, -118.3119)"
0003018153-0006-8,HAFA MANAGEMENT CORP,MCDONALD'S,6750   DE SOTO AVENUE,CANOGA PARK,91303-3036,6750 DE SOTO 91303-3036,42913   CAPITAL DRIVE   SUITE #106,LANCASTER,93535-4556,722110,Full-service restaurants,3,07/19/2018,,"(34.1934, -118.588)"
0002772229-0001-0,GBAL INC,MCDONALD'S 10805,501 W IMPERIAL HIGHWAY,LOS ANGELES,90044-4222,501 IMPERIAL 90044-4222,2202 S FIGUEROA STREET #4003,LOS ANGELES,90007-2049,722300,Special food services (including food service contractors & caterers),8,09/01/2014,,"(33.931, -118.2826)"
0002091597-0001-8,SOUTH BAY CORP,MCDONALD'S RESTAURANT,6345 WILSHIRE BLVD,LOS ANGELES,90048-5001,6345 WILSHIRE 90048-5001,723 S GLASGOW AVENUE   SUITE #C,INGLEWOOD,90301-3019,722110,Full-service restaurants,5,11/23/2005,,"(34.0635, -118.3666)"
0002373073-0001-0,MASSIE PARTNERS INC,MCDONALD'S # 8014,6776 HOLLYWOOD BLVD SPACE #8014,LOS ANGELES,90028-4622,6776 HOLLYWOOD 90028-4622,15205 VIA DE LAS OLAS,PACIFIC PALISADES,90272-4621,722300,Special food services (including food service contractors & caterers),13,08/29/2008,,"(34.1015, -118.3382)"
0003025571-0001-2,NICKER - MLK,MCDONALD'S,4348 W SUNSET BLVD,LOS ANGELES,90029-2112,4348 SUNSET 90029-2112,20790   LEAPWOOD AVENUE,CARSON,90746-3610,722110,Full-service restaurants,13,01/01/2018,,"(34.0953, -118.2842)"
0002041707-0001-0,ATKA ENTERPRISES INC,MCDONALD'S RESTAURANT,19503 NORMANDIE AVENUE,TORRANCE,90501-1361,19503 NORMANDIE 90501-1361,18726 S WESTERN AVENUE   SUITE #230,GARDENA,90248-3860,722211,Limited-service eating places,15,06/01/2005,,"(33.8542, -118.2992)"
0002616152-0001-6,BLADE ENTERPRISE III INC,MCDONALD'S #17115,4680 LINCOLN BLVD,MARINA DEL REY,90292-6306,4680 LINCOLN 90292-6306,5310 W ROSECRANS AVENUE,HAWTHORNE,90250-6646,722211,Limited-service eating places,0,04/16/2012,,"(33.9812, -118.4397)"
0003018153-0001-7,HAFA MANAGEMENT CORP,MCDONALD'S # 12970,12616   SHERMAN WAY,NORTH HOLLYWOOD,91605-5239,12616 SHERMAN 91605-5239,42913   CAPITAL DRIVE   UNIT #106,LANCASTER,93535-4556,722110,Full-service restaurants,2,11/01/2017,,"(34.2009, -118.4081)"
0000646017-0001-6,SANCHEZ FAMILY CORPORATION,MCDONALD'S #6688,201 W WASHINGTON BLVD,LOS ANGELES,90015-3514,201 WASHINGTON 90015-3514,4140   OCEANSIDE BLVD   SUITE #159-170,OCEANSIDE,92056-6005,722110,Full-service restaurants,14,12/01/2001,,"(34.032, -118.2667)"
0003018153-0003-3,HAFA MANAGEMENT CORP,MCDONALD'S # 28364,8656   SEPULVEDA BLVD,NORTH HILLS,91343-5827,8656 SEPULVEDA 91343-5827,42913   CAPITAL DRIVE   UNIT #106,LANCASTER,93535-4556,722110,Full-service restaurants,6,11/01/2017,,"(34.228, -118.467)"
0003018153-0002-5,HAFA MANAGEMENT CORP,MCDONALD'S # 27753,7161   SEPULVEDA BLVD,VAN NUYS,91405-2930,7161 SEPULVEDA 91405-2930,42913   CAPITAL DRIVE   UNIT #106,LANCASTER,93535-4556,722110,Full-service restaurants,6,11/01/2017,,"(34.2008, -118.4666)"
0003018153-0004-1,HAFA MANAGEMENT CORP,MCDONALD'S # 605,7045   VAN NUYS BLVD,VAN NUYS,91405-3003,7045 VAN NUYS 91405-3003,42913   CAPITAL DRIVE   UNIT #106,LANCASTER,93535-4556,722110,Full-service restaurants,6,11/01/2017,,"(34.1989, -118.4492)"
0002298756-0001-7,HOMAK ENTERPRISES INC,MCDONALD'S RESTAURANT # 1711 | MCDONALDS # 1711,17641 VENTURA BLVD,ENCINO,91316-3842,17641 VENTURA 91316-3842,15700 VENTURA BLVD,ENCINO,91436-2904,722110,Full-service restaurants,4,12/10/2007,,"(34.1622, -118.5177)"
0002928142-0002-8,TECKNOLOGY MMBC,MCDONALD'S 36268,17700   ROSCOE BLVD,NORTHRIDGE,91325-3910,17700 ROSCOE 91325-3910,2425   AVENIDA DE LA ROSA,CAMARILLO,93012-9091,722110,Full-service restaurants,4,03/16/2018,,"(34.2205, -118.5192)"
0000289721-0001-5,HOMAK ENTERPRISES INC,MCDONALD'S #2203,15700 VENTURA BLVD,ENCINO,91436-2904,15700 VENTURA 91436-2904,,,,722110,Full-service restaurants,4,10/01/2001,,"(34.1551, -118.4749)"
0003315722-0001-5,"SABM, INC.",MCDONALD'S,230 E PACIFIC COAST HIGHWAY,WILMINGTON,90744-2615,230 PACIFIC COAST 90744-2615,711 W 17TH STREET SUITE #B1,COSTA MESA,92627-4342,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",0,05/01/2022,,
0003281601-0001-5,BLADE ENTERPRISES VIII,MCDONALD'S #11415,1712 PACIFIC COAST HIGHWAY,LOMITA,90717-2720,1712 Pacific Coast 90717-2720,5310 W ROSECRANS AVENUE,HAWTHORNE,90250-6646,722110,Full-service restaurants,15,11/10/2021,,"(33.7891, -118.3081)"
0003343586-0001-3,"HOMAK JS 2 ENTERPRISES, INC",MCDONALD'S RESTAURANT #3872,21901 ERWIN STREET,WOODLAND HILLS,91367-3612,21901 Erwin 91367-3612,15700 VENTURA BLVD,ENCINO,91436-2904,722110,Full-service restaurants,3,12/19/2022,,"(34.1833, -118.6043)"
0003356129-0001-1,NICKER VERMONT INC,MCDONALD'S,1071 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-1816,1071 Martin Luther King Jr 90037-1816,20790 LEAPWOOD AVENUE,CARSON,90746-3610,722110,Full-service restaurants,8,02/15/2023,,"(34.0112, -118.2939)"
0003356127-0001-1,NICKER HARBOR INC,MCDONALD'S,4000 S FIGUEROA STREET,LOS ANGELES,90037-2002,4000 Figueroa 90037-2002,20790 LEAPWOOD AVENUE,CARSON,90746-3610,722110,Full-service restaurants,9,02/15/2023,,"(34.0107, -118.2824)"
0000957670-0001-5,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,4947 HUNTINGTON DRIVE N,LOS ANGELES,90032-1643,4947 HUNTINGTON 90032-1643,100 CORSON STREET SUITE #230,PASADENA,91103-3800,722110,Full-service restaurants,14,03/01/1999,,"(34.0875, -118.1752)"
0003341062-0001-2,RRH VENTURA INC,MCDONALD'S # 1085,13925 VENTURA BLVD,SHERMAN OAKS,91423-3501,13925 VENTURA 91423-3501,6309 LANKERSHIM BLVD,NORTH HOLLYWOOD,91606-3511,722110,Full-service restaurants,4,12/19/2022,,
0003278664-0001-5,BLADE ENTERPRISES VIII,MCDONALD'S #658,1728 W LOMITA BLVD,LOMITA,90717-1904,1728 LOMITA 90717,5310 W ROSECRANS AVENUE,HAWTHORNE,90250-6646,722110,Full-service restaurants,15,11/10/2021,,"(33.7975, 33.7975)"
0003389634-0001-3,MYSON ENTERPRISES INC,MCDONALD'S #11157,3105 N BROADWAY,LOS ANGELES,90031-2703,3105 BROADWAY 90031,5930 W PICO BLVD,LOS ANGELES,90035-2658,,,14,08/21/2023,,"(34.0741, 34.0741)"
0000957670-0002-3,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,5008 N FIGUEROA STREET,LOS ANGELES,90042-3920,5008 FIGUEROA 90042-3920,100 CORSON STREET SUITE #230,PASADENA,91103-3800,722110,Full-service restaurants,1,02/25/2008,,"(34.105, -118.202)"
