DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231224574,12/9/23 0:00,12/9/23 0:00,100,12,77th Street,1249,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 0908 1215 0448 1309 0302 0337 0432 0344 1402,24,F,B,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,821,,,,68TH                         ST,FLOWER                       ST,33.9782,-118.2814
230516706,12/9/23 0:00,12/9/23 0:00,950,5,Harbor,522,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,40,M,B,255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",,,IC,Invest Cont,341,,,,800    MCDONALD                     AV,,33.7795,-118.2711
230125983,12/10/23 0:00,12/9/23 0:00,2340,1,Central,192,1,330,BURGLARY FROM VEHICLE,0329 0344 1307 1609 0321,23,M,W,102,SIDEWALK,,,IC,Invest Cont,330,,,,17TH                         ST,HILL                         ST,34.034,-118.2651
231518684,12/10/23 0:00,12/9/23 0:00,2000,15,N Hollywood,1538,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 2000,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,11100    BURBANK                      BL,,34.1758,-118.3746
230516725,12/9/23 0:00,12/9/23 0:00,1730,5,Harbor,517,1,220,ATTEMPTED ROBBERY,0416 0355 0913,55,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,220,,,,1200    BROAD                        AV,,33.7868,-118.2613
231820588,12/9/23 0:00,12/9/23 0:00,1300,18,Southeast,1802,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 1206,43,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,400 W  90TH                         ST,,33.9551,-118.2814
231016978,12/9/23 0:00,12/9/23 0:00,1100,10,West Valley,1021,2,624,BATTERY - SIMPLE ASSAULT,913,53,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,6800    TAMPA                        AV,,34.1954,-118.5577
230917275,12/10/23 0:00,12/9/23 0:00,1930,9,Van Nuys,915,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6900    LENNOX                       AV,,34.1958,-118.4455
231820576,12/9/23 0:00,12/9/23 0:00,850,18,Southeast,1862,1,330,BURGLARY FROM VEHICLE,0344 1822 1302 1601 0377 1307 0329,25,M,H,101,STREET,,,IC,Invest Cont,330,,,,100 W  120TH                        ST,,33.9237,-118.2739
230125940,12/9/23 0:00,12/9/23 0:00,30,1,Central,111,1,352,PICKPOCKET,0344 1822,39,F,X,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,352,,,,900 N  BROADWAY,,34.0615,-118.2412
231917626,12/10/23 0:00,12/9/23 0:00,2200,19,Mission,1942,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4TH,CROCKETT,0,0
231614833,12/9/23 0:00,12/9/23 0:00,600,16,Foothill,1693,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444 1814 1243,45,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,7700    LAUREL CANYON                BL,,34.2121,-118.4021
231820574,12/9/23 0:00,12/9/23 0:00,1430,18,Southeast,1846,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,109TH                        ST,HOOPER                       AV,33.9323,-118.2502
231016984,12/9/23 0:00,12/9/23 0:00,1530,10,West Valley,1029,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 1258 0400,13,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,WOODLEY,SHERMAN                      WY,34.2012,-118.4837
231421552,12/10/23 0:00,12/9/23 0:00,1600,14,Pacific,1456,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444,57,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,KENSINGTON,CULVER                       BL,33.9964,-118.417
230618803,12/10/23 0:00,12/9/23 0:00,2130,6,Hollywood,678,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,0,X,X,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,745,998,,,SANTA MONICA,WESTERN,34.0908,-118.3092
231518730,12/9/23 0:00,12/9/23 0:00,1732,15,N Hollywood,1591,1,310,BURGLARY,1609 0344 1202,68,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,11200    BRIARCLIFF                   LN,,34.1255,-118.3792
230817881,12/9/23 0:00,12/9/23 0:00,1930,8,West LA,824,1,310,BURGLARY,0344 2004 0358,70,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,300    SYCAMORE                     RD,,34.0308,-118.5153
230321057,12/9/23 0:00,12/9/23 0:00,1755,3,Southwest,362,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258,9,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,,,,3800    POTOMAC                      AV,,34.016,-118.346
230718263,12/10/23 0:00,12/9/23 0:00,1,7,Wilshire,723,1,310,BURGLARY,1609 1822 0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,8000 W  3RD                          ST,,34.0718,-118.3637
230222353,12/9/23 0:00,12/9/23 0:00,1500,2,Rampart,212,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0444,26,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,500 N  COMMONWEALTH                 AV,,34.0794,-118.2856
231718999,12/9/23 0:00,12/9/23 0:00,1453,17,Devonshire,1795,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394,0,,,506,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,440,,,,8600    ZELZAH                       AV,,34.2271,-118.523
230917290,12/10/23 0:00,12/9/23 0:00,400,9,Van Nuys,909,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822,30,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,13900    WYANDOTTE                    ST,,34.203,-118.4356
231518711,12/10/23 0:00,12/9/23 0:00,1735,15,N Hollywood,1549,2,888,TRESPASSING,1822 2004 1501,0,X,X,913,MTA - RED LINE - NORTH HOLLYWOOD,,,AA,Adult Arrest,888,,,,5300    LANKERSHIM                   BL,,34.172,-118.3789
230125961,12/9/23 0:00,12/9/23 0:00,1155,1,Central,138,1,330,BURGLARY FROM VEHICLE,1307 0344 0329,24,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,330,,,,600 E  3RD                          ST,,34.0461,-118.2395
231421650,12/9/23 0:00,12/9/23 0:00,1600,14,Pacific,1446,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,,,710,OTHER PREMISE,,,IC,Invest Cont,740,,,,12000    WASHINGTON                   PL,,34.0019,-118.4255
230222362,12/9/23 0:00,12/9/23 0:00,1735,2,Rampart,201,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 1822 0416 0431 0329,40,M,W,101,STREET,512,MACE/PEPPER SPRAY,IC,Invest Cont,230,998,,,MELROSE,VERMONT                      AV,34.0836,-118.2917
230817899,12/9/23 0:00,12/9/23 0:00,1620,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
230718248,12/10/23 0:00,12/9/23 0:00,2350,7,Wilshire,764,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,58,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5100    VENICE                       BL,,34.0453,-118.3508
231917633,12/9/23 0:00,12/9/23 0:00,715,19,Mission,1902,1,761,BRANDISH WEAPON,0334 1822 1310,49,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,761,,,,ROXFORD,GLENOAKS,34.3184,-118.4637
231421530,12/10/23 0:00,12/9/23 0:00,2245,14,Pacific,1487,1,330,BURGLARY FROM VEHICLE,344,44,M,B,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,8700    LA TIJERA                    BL,,33.9583,-118.3931
230401684,12/9/23 0:00,12/9/23 0:00,2027,4,Hollenbeck,456,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0431,30,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,998,,,2500    MALABAR                      ST,,34.0499,-118.2009
230817891,12/9/23 0:00,12/9/23 0:00,310,8,West LA,898,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0385,30,F,O,101,STREET,,,IC,Invest Cont,420,,,,2600 S  BEDFORD                      ST,,34.0374,-118.3842
231614831,12/9/23 0:00,12/9/23 0:00,245,16,Foothill,1617,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1822,46,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,930,,,,10700    SHERMAN GROVE                AV,,34.2634,-118.3201
231224601,12/9/23 0:00,12/9/23 0:00,800,12,77th Street,1203,2,624,BATTERY - SIMPLE ASSAULT,1822 0448,45,F,H,301,GAS STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,WESTERN,VERNON,34.0037,-118.3089
231016970,12/9/23 0:00,12/9/23 0:00,448,10,West Valley,1001,1,330,BURGLARY FROM VEHICLE,1822 0344,32,M,O,101,STREET,,,IC,Invest Cont,330,,,,19500    KESWICK                      ST,,34.2106,-118.5579
230222448,12/11/23 0:00,12/9/23 0:00,1700,2,Rampart,279,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,OLYMPIC,BLAINE,34.0476,-118.2707
231614834,12/9/23 0:00,12/9/23 0:00,2140,16,Foothill,1618,2,624,BATTERY - SIMPLE ASSAULT,0360 0416 0429 0913,61,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,8000    GRAYSTONE                    ST,,34.2688,-118.3081
230126004,12/10/23 0:00,12/9/23 0:00,1900,1,Central,162,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,600 W  8TH                          ST,,34.0459,-118.2579
230718201,12/9/23 0:00,12/9/23 0:00,915,7,Wilshire,767,1,330,BURGLARY FROM VEHICLE,1300 0344 1609 0377,22,F,F,102,SIDEWALK,,,IC,Invest Cont,330,,,,S  BRONSON                      AV,W  PICO                         BL,34.0477,-118.3259
230321060,12/10/23 0:00,12/9/23 0:00,1900,3,Southwest,335,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3000    4TH                          AV,,34.0274,-118.3212
232117486,12/10/23 0:00,12/9/23 0:00,2230,21,Topanga,2155,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6100    NEVADA                       AV,,34.1809,-118.6089
232117449,12/9/23 0:00,12/9/23 0:00,145,21,Topanga,2155,1,210,ROBBERY,0945 0325 1822 0446,35,M,X,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,22000    CALVERT                      ST,,34.1811,-118.6059
231614842,12/10/23 0:00,12/9/23 0:00,2000,16,Foothill,1606,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,55,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,11400    SUNBURST                     ST,,34.2772,-118.3796
230516718,12/10/23 0:00,12/9/23 0:00,2000,5,Harbor,514,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1200 W  ANAHEIM                      ST,,33.7897,-118.2787
230718233,12/9/23 0:00,12/9/23 0:00,1903,7,Wilshire,724,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2024,22,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,100    THE GROVE                    DR,,34.0736,-118.3563
231017004,12/10/23 0:00,12/9/23 0:00,1800,10,West Valley,1035,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ETIWANDA,KITTRIDGE,34.1903,-118.5317
230321049,12/10/23 0:00,12/9/23 0:00,2200,3,Southwest,363,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2004 0913 0329 0421 1820,59,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,930,,,,4000    BUCKINGHAM                   RD,,34.0148,-118.3417
230718247,12/9/23 0:00,12/9/23 0:00,1300,7,Wilshire,724,2,624,BATTERY - SIMPLE ASSAULT,0431 1822,35,F,B,415,THE GROVE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100    THE GROVE                    DR,,34.0736,-118.3563
231421652,12/9/23 0:00,12/9/23 0:00,1051,14,Pacific,1416,2,354,THEFT OF IDENTITY,377,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3400    WADE                         ST,,34.0105,-118.4446
230415191,12/9/23 0:00,12/9/23 0:00,1110,4,Hollenbeck,453,1,761,BRANDISH WEAPON,334,49,M,H,102,SIDEWALK,215,MACHETE,IC,Invest Cont,761,,,,1500 E  CESAR E CHAVEZ               AV,,34.0525,-118.2205
230817887,12/9/23 0:00,12/9/23 0:00,930,8,West LA,821,1,330,BURGLARY FROM VEHICLE,0344 1300,45,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,PACIFIC COAST                HY,TEMESCAL CANYON              RD,34.0358,-118.5357
230817906,12/9/23 0:00,12/9/23 0:00,1033,8,West LA,889,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,1800    LA CIENEGA                   BL,,34.0425,-118.3818
231518783,12/9/23 0:00,12/9/23 0:00,13,15,N Hollywood,1549,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,0,X,X,202,LIQUOR STORE,,,IC,Invest Cont,442,,,,11200    BURBANK                      BL,,34.1722,-118.375
231917635,12/9/23 0:00,12/9/23 0:00,2230,19,Mission,1987,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,35,F,H,101,STREET,,,IC,Invest Cont,740,,,,8700    KATHERINE                    AV,,34.228,-118.4454
230516727,12/9/23 0:00,12/9/23 0:00,1600,5,Harbor,587,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,40,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700 W  29TH                         ST,,33.7179,-118.2919
231718967,12/11/23 0:00,12/9/23 0:00,1430,17,Devonshire,1757,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,16700    DEVONSHIRE                   ST,,34.2575,-118.4961
231820581,12/9/23 0:00,12/9/23 0:00,1,18,Southeast,1824,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0411 2000 0913 1814 1300 0400 0401,24,M,B,108,PARKING LOT,216,SCISSORS,IC,Invest Cont,626,,,,103RD                        ST,CENTRAL                      AV,33.9433,-118.2541
230917296,12/9/23 0:00,12/9/23 0:00,152,9,Van Nuys,919,1,320,"BURGLARY, ATTEMPTED",1822 1607,0,X,X,719,MEDICAL/DENTAL OFFICES,,,IC,Invest Cont,320,,,,13600    VANOWEN                      ST,,34.1939,-118.4291
230222378,12/9/23 0:00,12/9/23 0:00,2230,2,Rampart,247,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 2007 1227 1813 0447 0913,30,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,400 S  BONNIE BRAE                  ST,,34.0611,-118.2708
230125963,12/9/23 0:00,12/9/23 0:00,1230,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,21,M,H,406,OTHER STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
230125995,12/9/23 0:00,12/9/23 0:00,1127,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0325,23,F,H,404,DEPARTMENT STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577
230817905,12/9/23 0:00,12/9/23 0:00,1204,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
230222406,12/10/23 0:00,12/9/23 0:00,2000,2,Rampart,249,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1000    WILSHIRE                     BL,,34.0514,-118.2613
232019030,12/9/23 0:00,12/9/23 0:00,2145,20,Olympic,2001,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1202 1813 1243 0400 0444,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,600 N  WILTON                       PL,,34.0799,-118.3181
231224573,12/9/23 0:00,12/9/23 0:00,30,12,77th Street,1257,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1309 0302 0432,42,F,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,,,,76TH                         ST,FLOWER                       ST,33.9708,-118.2813
230500932,12/9/23 0:00,12/9/23 0:00,2330,5,Harbor,564,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 1402,0,X,X,101,STREET,,,IC,Invest Cont,740,998,,,300 S  CENTRE                       ST,,33.7415,-118.2836
231321882,12/11/23 0:00,12/9/23 0:00,2000,13,Newton,1309,1,330,BURGLARY FROM VEHICLE,0329 0344 1300 1307,0,,,108,PARKING LOT,,,IC,Invest Cont,330,,,,800    MATEO                        ST,,34.0336,-118.2323
231421500,12/9/23 0:00,12/9/23 0:00,250,14,Pacific,1432,1,330,BURGLARY FROM VEHICLE,0344 0321,46,M,W,101,STREET,,,IC,Invest Cont,330,,,,1900    SHELL                        AV,,33.9914,-118.4601
230125954,12/9/23 0:00,12/9/23 0:00,25,1,Central,166,2,624,BATTERY - SIMPLE ASSAULT,0913 0361 0416,63,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,34.0421,-118.2469
230222374,12/9/23 0:00,12/9/23 0:00,1650,2,Rampart,245,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 0445 1218 2004 1206 2033,49,M,H,109,PARK/PLAYGROUND,312,PIPE/METAL PIPE,IC,Invest Cont,230,,,,WILSHIRE                     BL,ALVARADO,34.0579,-118.2759
230718318,12/10/23 0:00,12/9/23 0:00,1547,7,Wilshire,785,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,46,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,2300 S  LONGWOOD                     AV,,34.0361,-118.3474
232117460,12/9/23 0:00,12/9/23 0:00,1100,21,Topanga,2147,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402 1609,35,M,X,505,MOTEL,,,IC,Invest Cont,745,998,,,7100    DE SOTO                      AV,,34.1992,-118.5884
230320999,12/9/23 0:00,12/9/23 0:00,815,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,800    DOWNEY                       WY,,34.0195,-118.2857
231224566,12/9/23 0:00,12/9/23 0:00,220,12,77th Street,1215,1,210,ROBBERY,0302 0344 0385 1822 0432 0209,0,X,X,210,RESTAURANT/FAST FOOD,101,REVOLVER,IC,Invest Cont,210,,,,5800 S  VERMONT                      AV,,33.9921,-118.298
230222461,12/11/23 0:00,12/9/23 0:00,900,2,Rampart,205,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0104 0325 1822 0216 2028 0601,0,,,404,DEPARTMENT STORE,,,IC,Invest Cont,343,,,,600 N  DILLON                       ST,,34.0786,-118.2788
230125990,12/10/23 0:00,12/9/23 0:00,330,1,Central,185,2,946,OTHER MISCELLANEOUS CRIME,1309 1501,0,X,X,101,STREET,,,IC,Invest Cont,946,,,,8TH                          ST,HILL                         ST,34.0388,-118.2574
230917298,12/9/23 0:00,12/9/23 0:00,1030,9,Van Nuys,909,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0408 0416 0446 0913 1414 1813,50,M,W,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,13500    SHERMAN                      WY,,34.205,-118.4339
230917277,12/10/23 0:00,12/9/23 0:00,1700,9,Van Nuys,948,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,5700    WOODMAN                      AV,,34.1739,-118.4313
230222356,12/9/23 0:00,12/9/23 0:00,38,2,Rampart,201,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,HELIOTROPE                   DR,WILLOWBROOK                  AV,34.0873,-118.296
230125951,12/9/23 0:00,12/9/23 0:00,1049,1,Central,155,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,440,,,,200 E  6TH                          ST,,34.0448,-118.2474
230415203,12/10/23 0:00,12/9/23 0:00,1800,4,Hollenbeck,466,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 N  EVERGREEN                    AV,,34.0436,-118.2051
231224598,12/9/23 0:00,12/9/23 0:00,1445,12,77th Street,1283,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,56,M,B,102,SIDEWALK,311,HAMMER,IC,Invest Cont,624,,,,2100 W  96TH                         ST,,33.9491,-118.3159
230125973,12/9/23 0:00,12/9/23 0:00,425,1,Central,152,1,210,ROBBERY,1218 0344 0305 0400,33,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,500 S  FLOWER                       ST,,34.0516,-118.2561
231917632,12/9/23 0:00,12/9/23 0:00,1800,19,Mission,1983,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2004 1300 0329,65,F,H,101,STREET,,,IC,Invest Cont,745,,,,8500 N  SEPULVEDA                    BL,,34.2246,-118.4677
231224615,12/9/23 0:00,12/9/23 0:00,2335,12,77th Street,1252,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0913 0444 0429,38,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6700    4TH                          AV,,33.9782,-118.3216
230901176,12/9/23 0:00,12/9/23 0:00,1300,9,Van Nuys,994,1,310,BURGLARY,1606 0352 1822,22,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,13900    VALLEY VISTA                 BL,,34.1443,-118.4366
232018973,12/9/23 0:00,12/9/23 0:00,100,20,Olympic,2027,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5TH                          ST,CATALINA,34.0654,-118.2954
231100945,12/10/23 0:00,12/9/23 0:00,1930,11,Northeast,1151,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1407 0448 0432 1419 0444,26,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,998,,,1600 N  ALEXANDRIA                   AV,,34.1003,-118.2983
231321900,12/10/23 0:00,12/9/23 0:00,1945,13,Newton,1303,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1822,0,,,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,11TH                         ST,WALL                         ST,34.0365,-118.2542
232117458,12/9/23 0:00,12/9/23 0:00,400,21,Topanga,2157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0416 1402 2000 1243,31,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,,,21200    KITTRIDGE                    ST,,34.1913,-118.5942
230718209,12/9/23 0:00,12/9/23 0:00,1400,7,Wilshire,753,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 1602,26,M,A,506,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,331,,,,1100 S  STANLEY                      AV,,34.0555,-118.3591
230516735,12/10/23 0:00,12/9/23 0:00,1920,5,Harbor,518,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,200 E  PACIFIC COAST                HY,,33.798,-118.2604
231017020,12/10/23 0:00,12/9/23 0:00,1630,10,West Valley,1015,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822,35,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,7400    JAMIESON                     AV,,34.2048,-118.5219
230222385,12/10/23 0:00,12/9/23 0:00,2100,2,Rampart,233,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2700    BEVERLY                      BL,,34.0699,-118.2777
