LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION
0003025561-0001-9,NICKER - 18TH INC,MCDONALD'S,1800 S WESTERN AVENUE,LOS ANGELES,90006-5806,1800 WESTERN 90006-5806,"(34.0416, -118.3085)"
0003025565-0001-7,NICKER - ARLINGTON INC,MCDONALD'S,2215 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90008-2722,2215 MARTIN LUTHER KING JR 90008-2722,
0003025571-0001-2,NICKER - MLK,MCDONALD'S,4348 W SUNSET BLVD,LOS ANGELES,90029-2112,4348 SUNSET 90029-2112,"(34.0953, -118.2842)"
0003025585-0001-4,NICKER WESTERN INC,MCDONALD'S,1900 W SLAUSON AVENUE,LOS ANGELES,90047-1129,1900 SLAUSON 90047-1129,"(33.9888, -118.3119)"
0003225118-0001-1,NZMK INC.,MCDONALD'S,1210 S SOTO STREET,LOS ANGELES,90023-2616,1210 SOTO 90023,"(34.0276, -118.2192)"
0003251647-0001-8,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 11377,2224 N FIGUEROA STREET,LOS ANGELES,90065-1024,2224 FIGUEROA 90065,"(34.0831, -118.2227)"
0003251647-0002-6,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 1136,3458   WHITTIER BLVD,LOS ANGELES,90023-1708,3458 WHITTIER 90023,"(34.0267, -118.1993)"
0003251647-0003-4,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 10129,245 N SOTO STREET,LOS ANGELES,90033-2914,245 SOTO 90033,"(34.0463, -118.2086)"
0003251647-0004-2,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 1304,1716   MARENGO STREET,LOS ANGELES,90033-1315,1716 MARENGO 90033,"(34.0585, -118.2123)"
0003278664-0001-5,BLADE ENTERPRISES VIII,MCDONALD'S #658,1728 W LOMITA BLVD,LOMITA,90717-1904,1728 LOMITA 90717,"(33.7975, 33.7975)"
0003281601-0001-5,BLADE ENTERPRISES VIII,MCDONALD'S #11415,1712 PACIFIC COAST HIGHWAY,LOMITA,90717-2720,1712 Pacific Coast 90717-2720,"(33.7891, -118.3081)"
0003315722-0001-5,"SABM, INC.",MCDONALD'S,230 E PACIFIC COAST HIGHWAY,WILMINGTON,90744-2615,230 PACIFIC COAST 90744-2615,
0003341061-0001-8,RRH VICTORY INC,MCDONALD'S #741,12919 VICTORY BLVD,NORTH HOLLYWOOD,91606-2923,12919 VICTORY 91606-2923,
0003341062-0001-2,RRH VENTURA INC,MCDONALD'S # 1085,13925 VENTURA BLVD,SHERMAN OAKS,91423-3501,13925 VENTURA 91423-3501,
0003343586-0001-3,"HOMAK JS 2 ENTERPRISES, INC",MCDONALD'S RESTAURANT #3872,21901 ERWIN STREET,WOODLAND HILLS,91367-3612,21901 Erwin 91367-3612,"(34.1833, -118.6043)"
0003356127-0001-1,NICKER HARBOR INC,MCDONALD'S,4000 S FIGUEROA STREET,LOS ANGELES,90037-2002,4000 Figueroa 90037-2002,"(34.0107, -118.2824)"
0003356129-0001-1,NICKER VERMONT INC,MCDONALD'S,1071 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-1816,1071 Martin Luther King Jr 90037-1816,"(34.0112, -118.2939)"
0003389634-0001-3,MYSON ENTERPRISES INC,MCDONALD'S #11157,3105 N BROADWAY,LOS ANGELES,90031-2703,3105 BROADWAY 90031,"(34.0741, 34.0741)"
