LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION
0000008207-0017-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #19848,6240 YORK BLVD,LOS ANGELES,90042-3638,6240 YORK 90042-3638,"(34.115, -118.1831)"
0000008207-0018-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #21800,5857 S CENTRAL AVENUE,LOS ANGELES,90001-1127,5857 CENTRAL 90001-1127,"(33.9882, -118.2564)"
0000008207-0019-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #21086,20903 VENTURA BLVD,WOODLAND HILLS,91364-2331,20903 VENTURA 91364-2331,"(34.1664, -118.5883)"
0000008207-0020-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #22525,3150 WILSHIRE BLVD,LOS ANGELES,90010-1204,3150 WILSHIRE 90010-1204,"(34.0617, -118.2905)"
0000008207-0021-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #22477,2675 E OLYMPIC BLVD,LOS ANGELES,90023-2607,2675 OLYMPIC 90023-2607,"(34.0245, -118.2203)"
0000008207-0023-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #23369,6833 VAN NUYS BLVD,VAN NUYS,91405-4626,6833 VAN NUYS 91405-4626,"(34.1947, -118.4488)"
0000008207-0024-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #22640,12404 VENICE BLVD,LOS ANGELES,90066-3804,12404 VENICE 90066-3804,"(34.0035, -118.4335)"
0000008207-0025-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #20686,9020 RESEDA BLVD UNIT #A,NORTHRIDGE,91324-3923,9020 RESEDA 91324-3923,"(34.234, -118.536)"
0000008207-0026-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #22881,12746 W JEFFERSON BLVD,LOS ANGELES,90066-7032,12746 JEFFERSON 90066-7032,"(33.9775, -118.4174)"
0000008207-0028-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #22601,859 N HIGHLAND AVENUE,LOS ANGELES,90038-3416,859 HIGHLAND 90038-3416,"(34.0863, -118.3385)"
0000008207-0029-5,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 24005,2735 S FIGUEROA STREET,LOS ANGELES,90007-3256,2735 FIGUEROA 90007-3256,"(34.0269, -118.2768)"
0000008207-0030-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #20895,12106 BURBANK BLVD,VALLEY VILLAGE,91607-1709,12106 BURBANK 91607-1709,"(34.1721, -118.3966)"
0000008207-0033-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #25059,13651 FOOTHILL BLVD,SYLMAR,91342-3131,13651 FOOTHILL 91342-3131,"(34.3077, -118.4307)"
0000008207-0034-1,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 25813,8400 LINCOLN BLVD,LOS ANGELES,90045-2416,8400 LINCOLN 90045-2416,"(33.9612, -118.4204)"
0000008207-0035-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #26527,3006 S SEPULVEDA BLVD,LOS ANGELES,90034-4202,3006 SEPULVEDA 90034-4202,"(34.0272, -118.4285)"
0000008207-0038-4,STARBUCKS CORPORATION,STARBUCKS COFFEE # 22417,4853   LANKERSHIM BLVD,NORTH HOLLYWOOD,91601-4527,4853 LANKERSHIM 91601-4527,"(34.1589, -118.3715)"
0000008207-0039-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #26338,1401 S ALAMEDA STREET,LOS ANGELES,90021-2425,1401 ALAMEDA 90021-2425,"(34.0253, -118.2395)"
0000008207-0041-4,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 28051,1742 S LA CIENEGA BLVD,LOS ANGELES,90035-4602,1742 LA CIENEGA 90035-4602,"(34.046, -118.3761)"
0000008207-0042-2,STARBUCKS CORPORATION,STARBUCKS # 29377,534 S OCCIDENTAL BLVD,LOS ANGELES,90057-1502,534 OCCIDENTAL 90057-1502,"(34.0638, -118.2842)"
0000008207-0046-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #28906,682 W 9TH STREET,SAN PEDRO,90731-3108,682 9TH 90731-3108,"(33.7363, -118.2919)"
0000008207-0052-0,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 52257,3026 S FIGUEROA STREET,LOS ANGELES,90007-3711,3026 FIGUEROA 90007-3711,"(34.0242, -118.2781)"
0000008207-0053-8,STARBUCKS CORPORATION,STARBUCKS #55650,4700 W SUNSET BLVD,LOS ANGELES,90027-6082,4700 SUNSET 90027-6082,"(34.0978, -118.2921)"
0000008207-0056-2,STARBUCKS CORPORATION,,19759 RINALDI STREET,PORTER RANCH,91326-4143,19759 Rinaldi 91326-4143,"(34.2755, -118.5632)"
0000008207-0058-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #48152,6360 RESEDA BLVD,LOS ANGELES,91355-,6360 RESEDA 91355,"(0.0, 0.0)"
0000024503-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE#5839,12848 VICTORY BLVD,N HOLLYWOOD,91606-3013,12848 VICTORY 91606-3013,"(34.1866, -118.4127)"
0000024503-0002-3,STARBUCKS CORPORATION,,9000 SEPULVEDA BLVD #8637,NORTH HILLS,91343-4308,9000 SEPULVEDA 91343-4308,"(34.2335, -118.4674)"
0000037459-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5738,11155 SANTA MONICA BLVD,LOS ANGELES,90025-3313,11155 SANTA MONICA 90501,"(34.0477, 34.0477)"
0000037459-0002-9,STARBUCKS CORPORATION,,7050   TOPANGA CANYON BLVD,CANOGA PARK,91303-1960,7050 TOPANGA CANYON 91303-1960,"(34.1986, -118.6055)"
0000037459-0003-7,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 24933,1277 N WESTERN AVENUE,LOS ANGELES,90029-1018,1277 WESTERN 90029-1018,"(34.0946, -118.3095)"
0000037459-0005-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #48339,1249 S GRAND AVENUE,LOS ANGELES,90015-0000,1249 GRAND 90015-0000,"(0.0, 0.0)"
0000037459-0008-8,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 29863,11109   SEPULVEDA BLVD,MISSION HILLS,91345-1113,11109 SEPULVEDA 91345-1113,"(34.2724, -118.468)"
0000037459-0009-6,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 26769,6060   LANKERSHIM BLVD,NORTH HOLLYWOOD,91606-4806,6060 LANKERSHIM 91606-4806,"(34.1814, -118.3839)"
0000037459-0012-6,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 55230,3241 N FIGUEROA STREET,LOS ANGELES,90065-1525,3241 FIGUEROA 90065-1525,"(34.0865, -118.2195)"
0000037459-0013-4,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 54501,3465 W 6TH STREET   UNIT #30/40,LOS ANGELES,90020-2567,3465 6TH 90020-2567,"(34.064, -118.2973)"
0000037459-0014-2,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 54500,909   OCEAN FRONT WALKS,VENICE,90291-9006,909 OCEAN FRONT 90291-9006,"(33.9904, -118.4764)"
0000038095-0002-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #27261,4550   VAN NUYS BLVD   #K,SHERMAN OAKS,91403-2913,4550 VAN NUYS 91403-2913,"(34.1547, -118.448)"
0000066929-0001-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #5494,10955 WEYBURN AVENUE,LOS ANGELES,90024-2811,10955 WEYBURN 90024-2811,"(34.0623, -118.4472)"
0000066929-0002-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #24851,2720   GRIFFITH PARK BLVD,LOS ANGELES,90027-3399,2720 GRIFFITH PARK 90027-3399,"(34.1074, -118.2727)"
0000066930-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE CO #544,17308 VENTURA BLVD,ENCINO,91316-3904,17308 VENTURA 91316-3904,"(34.1608, -118.51)"
0000111880-0001-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #585,5422 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-6313,5422 TOPANGA CANYON 91367-6313,"(34.1691, -118.6057)"
0000111880-0002-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #9456,17272 SATICOY STREET,VAN NUYS,91406-2103,17272 SATICOY 91406-2103,"(34.2084, -118.5094)"
0000111880-0004-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #9998,5353 WILSHIRE BLVD,LOS ANGELES,90036-4284,5353 WILSHIRE 90036-4284,"(34.0623, -118.3451)"
0000111880-0006-3,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 10939,1111 S GRAND AVENUE,LOS ANGELES,90015-2176,1111 GRAND 90015-2176,"(34.0414, -118.2621)"
0000111880-0007-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #10895,22435 VENTURA BLVD #B,WOODLAND HILLS,91364-1580,22435 VENTURA 91364-1580,"(34.1684, -118.6154)"
0000111880-0008-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #8608,12313 JEFFERSON BLVD,LOS ANGELES,90230-6225,12313 JEFFERSON 90230-6225,"(33.9815, -118.4086)"
0000111880-0009-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #11868,438 S GAFFEY STREET,SAN PEDRO,90731-2436,438 GAFFEY 90731-2436,"(33.7402, -118.2923)"
0000111880-0010-1,STARBUCKS CORPORATION,STARBUCKS CORPORATION #11991,3242 CAHUENGA BLVD E,LOS ANGELES,90068-1822,3242 CAHUENGA 90068-1822,"(34.1285, -118.3462)"
0000111880-0011-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #12900,5757 WILSHIRE BLVD UNIT #106,LOS ANGELES,90036-3684,5757 WILSHIRE 90036-3684,"(34.0625, -118.3545)"
0000111880-0012-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #6593,3730 CRENSHAW BLVD,LOS ANGELES,90016-5804,3730 CRENSHAW 90016-5804,"(34.0191, -118.335)"
0000111880-0013-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #6630,14431 BURBANK BLVD,VAN NUYS,91401-4825,14431 BURBANK 91401-4825,"(34.1721, -118.4474)"
0000111880-0014-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #6961,15355 SHERMAN WAY,VAN NUYS,91406-4200,15355 SHERMAN 91406-4200,"(34.2012, -118.4679)"
0000111880-0015-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #17413,3584 S FIGUEROA STREET UNIT #3,LOS ANGELES,90007-4313,3584 FIGUEROA 90007-4313,"(34.0191, -118.2817)"
0000111880-0017-9,STARBUCKS CORPORATION,STARBUCKS CORPORATION #17853,9301 TAMPA AVENUE,NORTHRIDGE,91324-2503,9301 TAMPA 91324-2503,"(34.2391, -118.5535)"
0000111880-0018-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #17848,3450 WILSHIRE BLVD,LOS ANGELES,90010-2208,3450 WILSHIRE 90010-2208,"(34.0617, -118.2989)"
0000111880-0019-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #17989,206 W 6TH STREET,LOS ANGELES,90014-1848,206 6TH 90014-1848,"(34.046, -118.251)"
0000115140-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #573,12170 VENTURA BLVD,STUDIO CITY,91604-2514,12170 VENTURA 91604-2514,"(34.1433, -118.3975)"
0000129894-0009-4,WALGREEN CO,COMMUNITY A WALGREENS PHARMACY #16482,1902   MARENGO STREET   UNIT #105-106,LOS ANGELES,90033-1317,1902 MARENGO 90033-1317,"(34.0575, -118.2102)"
0000147995-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #5777,13535 VENTURA BLVD,VAN NUYS,91423-3876,13535 VENTURA 91423-3876,"(34.1475, -118.4283)"
0000149719-0001-7,WALGREEN CO /C,WALGREENS #7482,1800 W SLAUSON AVENUE,LOS ANGELES,90047-1126,1800 SLAUSON 90047-1126,"(33.9891, -118.3113)"
0000149719-0002-5,WALGREEN CO /C,WALGREENS #07826,13231 VICTORY BLVD,VAN NUYS,91401-2025,13231 VICTORY 91401-2025,"(34.1866, -118.4213)"
0000149719-0003-3,WALGREEN CO /C,WALGREENS #05525,7155 VAN NUYS BLVD,VAN NUYS,91405-3006,7155 VAN NUYS 91405-3006,"(34.2003, -118.4487)"
0000149719-0004-1,WALGREEN CO /C,WALGREENS #05566,17010 CHATSWORTH STREET,GRANADA HILLS,91344-5844,17010 CHATSWORTH 91344-5844,"(34.2647, -118.5026)"
0000149719-0005-0,WALGREEN CO /C,WALGREENS #05591,24930 WESTERN AVENUE,HARBOR CITY,90710-2029,24930 WESTERN 90710-2029,"(33.7982, -118.3074)"
0000149719-0006-8,WALGREEN CO /C,WALGREENS #06445,8770 W PICO BLVD,LOS ANGELES,90035-2211,8770 PICO 90035-2211,"(34.0546, -118.383)"
0000149719-0007-6,WALGREEN CO /C,WALGREENS #05879,3201 W 6TH STREET,LOS ANGELES,90020-5001,3201 6TH 90020-5001,"(34.0636, -118.2916)"
0000149719-0008-4,WALGREEN CO /C,WALGREENS #05743,7560 TOPANGA CANYON BLVD,CANOGA PARK,91303-1213,7560 TOPANGA CANYON 91303-1213,"(34.2078, -118.6059)"
0000149719-0009-2,WALGREEN CO /C,WALGREEN #6347,18515 DEVONSHIRE STREET,NORTHRIDGE,91324-1308,18515 DEVONSHIRE 91324-1308,"(34.2572, -118.5364)"
0000149719-0010-6,WALGREEN CO /C,WALGREENS #06931,10407 SANTA MONICA BLVD,LOS ANGELES,90025-5009,10407 SANTA MONICA 90025-5009,"(34.0574, -118.4243)"
0000149719-0011-4,WALGREEN CO /C,WALGREENS #06516,5467 WILSHIRE BLVD,LOS ANGELES,90036-4219,5467 WILSHIRE 90036-4219,"(34.0623, -118.3477)"
0000149719-0012-2,WALGREEN CO /C,WALGREENS #05848,20505 SHERMAN WAY,CANOGA PARK,91306-3427,20505 SHERMAN 91306-3427,"(34.2011, -118.5798)"
0000149719-0013-1,WALGREEN CO /C,WALGREENS #07015,20901 DEVONSHIRE STREET,CHATSWORTH,91311-2313,20901 DEVONSHIRE 91311-2313,"(34.2572, -118.5885)"
0000149719-0014-9,WALGREEN CO /C,WALGREENS #06700,5224 COLDWATER CANYON AVENUE,VAN NUYS,91401-6146,5224 COLDWATER CANYON 91401-6146,"(34.1652, -118.4137)"
0000149719-0015-7,WALGREEN CO /C,WALGREENS #06648,18430 SHERMAN WAY,RESEDA,91335-4305,18430 SHERMAN 91335-4305,"(34.201, -118.5345)"
0000149719-0016-5,WALGREEN CO /C,WALGREENS #07070,4009 LINCOLN BLVD,MARINA DEL REY,90292-5613,4009 LINCOLN 90292-5613,"(33.9863, -118.4439)"
0000149719-0017-3,WALGREEN CO /C,WALLGREENS #06854,2222 COLORADO BLVD,LOS ANGELES,90041-1143,2222 COLORADO 90041-1143,"(34.1392, -118.2148)"
0000149719-0018-1,WALGREEN CO /C,WALGREENS #09136,1625 W SUNSET BLVD,LOS ANGELES,90026-4226,1625 SUNSET 90026-4226,"(34.0768, -118.2576)"
0000149719-0019-0,WALGREEN CO /C,WALGREENS #7036,5451 W SUNSET BLVD,LOS ANGELES,90027-5613,5451 SUNSET 90027-5613,"(34.0981, -118.3081)"
0000149719-0020-3,WALGREEN CO /C,WALGREENS #07481,22930 S WESTERN AVENUE,TORRANCE,90501-5112,22930 WESTERN 90501-5112,"(33.8176, -118.3087)"
0000149719-0021-1,WALGREEN CO /C,WALGREENS #7950,15316 NORDHOFF STREET,NORTH HILLS,91343-2234,15316 NORDHOFF 91343-2234,"(34.2355, -118.4657)"
0000149719-0022-0,WALGREEN CO /C,WALGREENS #07016,3724 CRENSHAW BLVD,LOS ANGELES,90016-5804,3724 CRENSHAW 90016-5804,"(34.0193, -118.335)"
0000149719-0023-8,WALGREEN CO /C,WALGREENS #01813,18568 VENTURA BLVD,TARZANA,91356-4146,18568 VENTURA 91356-4146,"(34.1694, -118.5376)"
0000149719-0024-6,WALGREEN CO /C,WALGREENS #09491,10955 MAGNOLIA BLVD,NORTH HOLLYWOOD,91601-3907,10955 MAGNOLIA 91601-3907,"(34.1649, -118.3695)"
0000149719-0025-4,WALGREEN CO /C,WALGREENS #11449,4616 DE LONGPRE AVENUE,LOS ANGELES,90027-6076,4616 DE LONGPRE 90027-6076,"(34.0969, -118.2903)"
0000149719-0050-5,WALGREEN CO /C,WALGREENS #11735,16100 VENTURA BLVD,ENCINO,91436-2502,16100 VENTURA 91436-2502,"(34.1563, -118.4836)"
0000149719-0051-3,WALGREEN CO /C,WALGREENS #12419,11795 W OLYMPIC BLVD,LOS ANGELES,90064-1211,11795 OLYMPIC 90064-1211,"(34.0332, -118.4496)"
0000149719-0052-1,WALGREEN CO /C,WALGREEN #06124,9750 WOODMAN AVENUE,ARLETA,91331-6422,9750 WOODMAN 91331-6422,"(34.2474, -118.4483)"
0000149719-0053-0,WALGREEN CO /C,WALGREENS #12057,1050 N HIGHLAND AVENUE,LOS ANGELES,90038-2407,1050 HIGHLAND 90038-2407,"(34.0898, -118.3386)"
0000149719-0054-8,WALGREEN CO /C,WALGREENS #15190,1399 ROXBURY DRIVE,LOS ANGELES,90035-4709,1399 ROXBURY 90035-4709,"(34.0539, -118.4021)"
0000149719-0056-4,WALGREEN CO /C,WALGREENS #11918,11000 VENTURA BLVD,STUDIO CITY,91604-3546,11000 VENTURA 91604-3546,"(34.1403, -118.3701)"
0000149719-0057-2,WALGREEN CO /C,WALGREENS # 12529,305 N BREED STREET,LOS ANGELES,90033-1801,305 BREED 90033-1801,"(34.0473, -118.2087)"
0000149719-0058-1,WALGREEN CO /C,WALGREENS # 12460 | WALGREENS #12460,617 W 7TH STREET SUITE #100,LOS ANGELES,90017-3897,617 7TH 90017-3897,"(34.0474, -118.2567)"
0000149719-0059-9,WALGREEN CO /C,WALGREENS # 15293 | WALGREENS #15293,4940 VAN NUYS BLVD SUITE #104,SHERMAN OAKS,91403-1700,4940 VAN NUYS 91403-1700,"(34.1601, -118.4487)"
0000149719-0060-2,WALGREEN CO /C,WALGREENS #15278,1501 VINE STREET,LOS ANGELES,90028-7304,1501 VINE 90028-7304,"(34.098, -118.3266)"
0000149719-0062-9,WALGREEN CO /C,WALGREENS #16368,3745 S LA BREA AVENUE SUITE #C/D,LOS ANGELES,90016-5357,3745 LA BREA 90016-5357,"(34.0189, -118.3555)"
0000149719-0066-1,WALGREEN CO /C,WALGREENS # 16540,6801   HOLLYWOOD BLVD   SUITE #132,LOS ANGELES,90028-6138,6801 HOLLYWOOD 90028-6138,"(34.1026, -118.3395)"
0000155171-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE 616,4264 LINCOLN BLVD,MARINA DEL REY,90292-5654,4264 LINCOLN 90292-5654,"(33.9857, -118.4435)"
0000155171-0002-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #70567,300 S SANTA FE AVENUE    #D,LOS ANGELES,90013-3100,300 Santa Fe 90013-3100,"(34.0439, -118.2325)"
0000155171-0003-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #77065,14435 VICTORY BLVD,VAN NUYS,91401-1440,14435 Victory 91401-1440,"(34.187, -118.4477)"
0000155171-0004-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #66065,8232 DE SOTO AVENUE,CANOGA PARK,91304-4342,8232 DE SOTO 91304-4342,"(34.2191, -118.588)"
0000155171-0005-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #8617,4959 EAGLE ROCK BLVD,LOS ANGELES,90041-1921,4959 Eagle Rock 90041-1921,"(34.1364, -118.2153)"
0000155172-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #609,15300 W SUNSET BLVD,PACIFIC PALISADES,90272-3613,15300 SUNSET 90272-3613,"(34.0474, -118.5257)"
0000155172-0002-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #58656,7915 W SUNSET BLVD,LOS ANGELES,90046-3303,7915 Sunset 90046-3303,"(34.0982, -118.3619)"
0000155172-0003-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #52746,1400 GLENDALE BLVD,LOS ANGELES,90026-2429,1400 Glendale 90026-2429,"(34.0798, -118.2597)"
0000155172-0004-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #23286,13755 ROSCOE BLVD,PANORAMA CITY,91402-3852,13755 Roscoe 91402-3852,"(34.222, -118.4332)"
0000155172-0005-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #58138,2449 E CENTURY BLVD,LOS ANGELES,90002-1852,2449 Century 90002-1852,"(33.9493, -118.2462)"
0000155172-0006-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #55623,6180 LAUREL CANYON BLVD    #150,NORTH HOLLYWOOD,91606-3231,6180 Laurel Canyon 91606-3231,"(34.1821, -118.394)"
0000155172-0008-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #50528,7040 SEPULVEDA BLVD,VAN NUYS,91405-2926,7040 Sepulveda 91405-2926,"(34.1988, -118.4658)"
0000155172-0009-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #65550,800 N ALAMEDA STREET,LOS ANGELES,90012-2177,800 Alameda 90012-2177,"(34.0562, -118.236)"
0000155172-0010-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #66068,754 S BROADWAY,LOS ANGELES,90014-2802,754 Broadway 90014-2802,"(34.0441, -118.2542)"
0000155172-0012-1,STARBUCKS CORPORATION,STARBUCKS COFFEE CO #65626,3785 WILSHIRE BLVD UNIT #107F,LOS ANGELES,90010-2889,3785 Wilshire 90010-2889,"(34.0628, -118.3087)"
0000155172-0013-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #59335,21929 ROSCOE BLVD,CANOGA PARK,91304-3959,21929 Roscoe 91304-3959,"(34.2201, -118.6053)"
0000155172-0014-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #52259,8940 GLENOAKS BLVD,SUN VALLEY,91352-,8940 GLENOAKS 91352,"(0.0, 0.0)"
0000155172-0015-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #67344,10612 NATIONAL BLVD,LOS ANGELES,90034-3518,10612 National 90034-3518,"(34.0306, -118.4158)"
0000155172-0016-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #72294,1411 W SUNSET BLVD,LOS ANGELES,90026-3431,1411 Sunset 90026-3431,"(34.0746, -118.2518)"
0000155172-0017-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #609,8600 W PICO BLVD,LOS ANGELES,90035-2302,8600 Pico 90035-2302,"(34.0535, -118.3788)"
0000174012-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE 639,6600 TOPANGA CANYON BLVD #49F,CANOGA PARK,91303-4603,6600 TOPANGA CANYON 91303-4603,"(34.1898, -118.6058)"
0000174012-0002-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #49536,3505 S SEPULVEDA BLVD,LOS ANGELES,90034-0034,3505 Sepulveda 90034-0034,"(34.0189, -118.4223)"
0000174102-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #624,7624 MELROSE AVENUE,LOS ANGELES,90046-7420,7624 MELROSE 90046-7420,"(34.0836, -118.3558)"
0000174102-0002-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #14629,8000 W SUNSET BLVD UNIT #B-110,LOS ANGELES,90046-2442,8000 SUNSET 90046-2442,"(34.098, -118.3644)"
0000194222-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #9234,555 W 5TH STREET,LOS ANGELES,90013-1010,555 5TH 90013-1010,"(34.0498, -118.2533)"
0000225200-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #659,11700 BARRINGTON COURT,LOS ANGELES,90049-2930,11700 BARRINGTON 90049-2930,"(34.0646, -118.4694)"
0000239843-0001-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #9232,1875 CENTURY PARKS  E,LOS ANGELES,90067-2501,1875 CENTURY 90067-2501,"(34.0609, -118.4141)"
0000259392-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #5815,15301 VENTURA BLVD,SHERMAN OAKS,91403-3102,15301 VENTURA 91403-3102,"(34.1537, -118.4656)"
0000268539-0001-9,STARBUCKS CORPORATION,STARBUCKS COFFEE 5208,10235 RESEDA BLVD,NORTHRIDGE,91324-1460,10235 RESEDA 91324-1460,"(34.2563, -118.536)"
0000271368-0001-4,STARBUCKS CORPORATION,STARBUCK COFFEE #5794,1700 N VERMONT AVENUE,LOS ANGELES,90027-4306,1700 VERMONT 90027-4306,"(34.1017, -118.2917)"
0000275170-0002-2,GARCO ENTERPRISES INC,MCDONALD'S #7072,10611 W PICO BLVD,LOS ANGELES,90064-2213,10611 PICO 90064-2213,"(34.0433, -118.4222)"
0000289721-0001-5,HOMAK ENTERPRISES INC,MCDONALD'S #2203,15700 VENTURA BLVD,ENCINO,91436-2904,15700 VENTURA 91436-2904,"(34.1551, -118.4749)"
0000289721-0003-1,HOMAK ENTERPRISES INC,MCDONALD'S # 17114,23340 AVENUE SAN LUIS,WOODLAND HILLS,91364-1099,23340 AVENUE SAN LUIS 91364-1099,"(34.16, -118.6348)"
